"IDCREDITO","Duracao","HistoricoCredito","Proposito","Valor","Investimentos","Emprego","TempoParcelamento","EstadoCivil","FiadorTerceiros","ResidenciaDesde","Idade","OutrosFinanciamentos","Habitacao","EmprestimoExistente","Profissao","Dependentes","SocioEmpresa","Status","proposta","financiamentos","profissao","emprego","histcredito","fiador","residencia","estadocivil","investimentos"
423,12,1,4,958,2,4,2,4,3,3,47,3,1,2,3,2,0,1,"veiculo novo","nenhum","nao qualificado","4<=X<7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
424,21,3,3,1591,5,4,4,4,3,3,34,3,1,2,1,1,0,1,"moveis","nenhum","altamente qualificado/empresario","4<=X<7","Atrasos anteriores","nao","proria","Viuvo","100<=X<500"
425,12,2,3,2762,1,2,1,1,3,2,25,1,1,1,4,1,1,0,"moveis","banco","qualificado",">=7","existentes/pagos","nao","proria","Solteiro","Desconhecido\\n"
426,18,2,5,2779,2,3,1,3,3,3,21,3,3,1,4,1,1,1,"veiculo usado","nenhum","qualificado","1<=X<4","existentes/pagos","nao","alugada","Divorciado","<100\\n"
427,28,1,1,2743,2,2,4,4,3,2,29,3,1,2,4,1,0,1,"reforma","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
428,18,1,1,1149,4,3,4,4,3,3,46,3,1,2,4,1,0,1,"reforma","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Viuvo",">=1000"
429,9,2,3,1313,2,2,1,4,3,4,20,3,1,1,4,1,0,1,"moveis","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Viuvo","<100\\n"
430,18,1,8,1190,2,5,2,1,3,4,55,3,2,3,2,2,0,0,"reforma casa","nenhum","desempregado","Desempregado","Critico-outros creditos","nao","de graca","Solteiro","<100\\n"
431,5,2,6,3448,2,4,1,4,3,4,74,3,1,1,3,1,0,1,"abrir negocio","nenhum","nao qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","<100\\n"
432,24,2,9,11328,2,3,2,4,2,3,29,1,1,2,1,1,1,0,"outros","banco","altamente qualificado/empresario","1<=X<4","existentes/pagos","co requerente","proria","Viuvo","<100\\n"
433,6,1,3,1872,2,5,4,4,3,4,36,3,2,3,1,1,1,1,"moveis","nenhum","altamente qualificado/empresario","Desempregado","Critico-outros creditos","nao","de graca","Viuvo","<100\\n"
434,24,1,8,2058,2,3,4,2,3,2,33,3,1,2,4,1,1,1,"reforma casa","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Casado","<100\\n"
435,9,2,3,2136,2,3,3,4,3,2,25,3,1,1,4,1,0,1,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
436,12,2,1,1484,1,3,2,3,3,1,25,3,1,1,4,1,1,0,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Divorciado","Desconhecido\\n"
437,6,2,8,660,3,4,2,3,3,4,23,3,3,1,3,1,0,1,"reforma casa","nenhum","nao qualificado","4<=X<7","existentes/pagos","nao","alugada","Divorciado","500<=X<1000"
923,9,2,1,1366,2,1,3,1,3,4,22,3,3,1,4,1,0,0,"reforma","nenhum","qualificado","<1","existentes/pagos","nao","alugada","Solteiro","<100\\n"
438,24,1,4,1287,4,2,4,1,3,4,37,3,1,2,4,1,1,1,"veiculo novo","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Solteiro",">=1000"
439,42,1,8,3394,2,5,4,4,2,4,65,3,1,2,2,1,0,1,"reforma casa","nenhum","desempregado","Desempregado","Critico-outros creditos","co requerente","proria","Viuvo","<100\\n"
440,12,5,6,609,2,1,4,1,3,1,26,3,1,1,2,1,0,0,"abrir negocio","nenhum","desempregado","<1","todos pagos","nao","proria","Solteiro","<100\\n"
441,12,2,4,1884,2,2,4,4,3,4,39,3,1,1,1,1,1,1,"veiculo novo","nenhum","altamente qualificado/empresario",">=7","existentes/pagos","nao","proria","Viuvo","<100\\n"
442,12,2,3,1620,2,3,2,1,2,3,30,3,1,1,4,1,0,1,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","co requerente","proria","Solteiro","<100\\n"
443,20,3,9,2629,2,3,2,4,3,3,29,1,1,2,4,1,1,1,"outros","banco","qualificado","1<=X<4","Atrasos anteriores","nao","proria","Viuvo","<100\\n"
444,12,2,2,719,2,2,4,4,3,4,41,1,1,1,3,2,0,0,"educacao","banco","nao qualificado",">=7","existentes/pagos","nao","proria","Viuvo","<100\\n"
445,48,1,3,5096,2,3,2,1,3,3,30,3,1,1,1,1,1,0,"moveis","nenhum","altamente qualificado/empresario","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
446,9,1,2,1244,1,2,4,1,3,4,41,3,3,2,3,1,0,1,"educacao","nenhum","nao qualificado",">=7","Critico-outros creditos","nao","alugada","Solteiro","Desconhecido\\n"
447,36,2,4,1842,2,1,4,1,3,4,34,3,1,1,4,1,1,0,"veiculo novo","nenhum","qualificado","<1","existentes/pagos","nao","proria","Solteiro","<100\\n"
448,7,2,1,2576,2,3,2,4,4,2,35,3,1,1,4,1,0,1,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","sim","proria","Viuvo","<100\\n"
449,12,2,3,1424,1,2,3,1,3,4,55,3,1,1,1,1,1,1,"moveis","nenhum","altamente qualificado/empresario",">=7","existentes/pagos","nao","proria","Solteiro","Desconhecido\\n"
450,15,3,8,1512,4,3,3,3,3,3,61,2,1,2,4,1,0,0,"reforma casa","loja","qualificado","1<=X<4","Atrasos anteriores","nao","proria","Divorciado",">=1000"
451,36,1,5,11054,1,3,4,4,3,2,30,3,1,1,1,1,1,1,"veiculo usado","nenhum","altamente qualificado/empresario","1<=X<4","Critico-outros creditos","nao","proria","Viuvo","Desconhecido\\n"
452,6,2,1,518,2,3,3,1,3,1,29,3,1,1,4,1,0,1,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Solteiro","<100\\n"
453,12,4,3,2759,2,2,2,4,3,4,34,3,1,2,4,1,0,1,"moveis","nenhum","qualificado",">=7","sem creditos/todos pagos","nao","proria","Viuvo","<100\\n"
454,24,2,5,2670,2,2,4,4,3,4,35,3,1,1,1,1,1,1,"veiculo usado","nenhum","altamente qualificado/empresario",">=7","existentes/pagos","nao","proria","Viuvo","<100\\n"
455,24,2,4,4817,2,4,2,4,2,3,31,3,1,1,4,1,1,0,"veiculo novo","nenhum","qualificado","4<=X<7","existentes/pagos","co requerente","proria","Viuvo","<100\\n"
456,24,2,5,2679,2,1,4,1,3,1,29,3,1,1,1,1,1,1,"veiculo usado","nenhum","altamente qualificado/empresario","<1","existentes/pagos","nao","proria","Solteiro","<100\\n"
457,11,1,4,3905,2,3,2,4,3,2,36,3,3,2,4,2,0,1,"veiculo novo","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","alugada","Viuvo","<100\\n"
459,6,2,7,343,2,1,4,1,3,1,27,3,1,1,4,1,0,1,"quitar divida","nenhum","qualificado","<1","existentes/pagos","nao","proria","Solteiro","<100\\n"
460,18,2,1,4594,2,1,3,4,3,2,32,3,1,1,4,1,1,1,"reforma","nenhum","qualificado","<1","existentes/pagos","nao","proria","Viuvo","<100\\n"
461,36,2,3,3620,2,3,1,4,4,2,37,3,1,1,4,2,0,1,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","sim","proria","Viuvo","<100\\n"
462,15,2,4,1721,2,1,2,4,3,3,36,3,1,1,4,1,0,1,"veiculo novo","nenhum","qualificado","<1","existentes/pagos","nao","proria","Viuvo","<100\\n"
463,12,2,3,3017,2,1,3,1,3,1,34,3,3,1,1,1,0,1,"moveis","nenhum","altamente qualificado/empresario","<1","existentes/pagos","nao","alugada","Solteiro","<100\\n"
464,12,2,10,754,1,2,4,4,3,4,38,3,1,2,4,1,0,1,"qualificacao","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
465,18,2,6,1950,2,4,4,4,3,1,34,2,1,2,4,1,1,1,"abrir negocio","loja","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","<100\\n"
466,24,2,5,2924,2,3,3,4,4,4,63,1,1,1,4,2,1,1,"veiculo usado","banco","qualificado","1<=X<4","existentes/pagos","sim","proria","Viuvo","<100\\n"
467,24,3,1,1659,2,1,4,1,3,2,29,3,3,1,3,1,1,0,"reforma","nenhum","nao qualificado","<1","Atrasos anteriores","nao","alugada","Solteiro","<100\\n"
469,33,3,6,2764,2,3,2,1,3,2,26,3,1,2,4,1,1,1,"abrir negocio","nenhum","qualificado","1<=X<4","Atrasos anteriores","nao","proria","Solteiro","<100\\n"
470,24,3,5,4679,2,4,3,4,3,3,35,3,1,2,3,1,1,1,"veiculo usado","nenhum","nao qualificado","4<=X<7","Atrasos anteriores","nao","proria","Viuvo","<100\\n"
471,24,2,1,3092,5,1,3,3,3,2,22,3,3,1,4,1,1,0,"reforma","nenhum","qualificado","<1","existentes/pagos","nao","alugada","Divorciado","100<=X<500"
472,6,2,2,448,2,1,4,1,3,4,23,3,1,1,4,1,0,0,"educacao","nenhum","qualificado","<1","existentes/pagos","nao","proria","Solteiro","<100\\n"
473,9,2,4,654,2,3,4,4,3,3,28,3,1,1,3,1,0,0,"veiculo novo","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
475,18,1,1,1245,2,3,4,3,3,2,33,3,1,1,4,1,0,0,"reforma","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Divorciado","<100\\n"
476,18,4,3,3114,2,1,1,1,3,4,26,3,3,1,4,1,0,0,"moveis","nenhum","qualificado","<1","sem creditos/todos pagos","nao","alugada","Solteiro","<100\\n"
477,39,2,5,2569,3,3,4,4,3,4,24,3,1,1,4,1,0,1,"veiculo usado","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","500<=X<1000"
478,24,2,1,5152,2,4,4,4,3,2,25,1,1,1,4,1,0,1,"reforma","banco","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","<100\\n"
479,12,2,6,1037,5,4,3,4,3,4,39,3,1,1,3,1,0,1,"abrir negocio","nenhum","nao qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","100<=X<500"
480,15,1,3,1478,2,2,4,4,3,4,44,3,1,2,4,2,1,1,"moveis","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
481,12,1,1,3573,2,3,1,1,3,1,23,3,1,1,3,1,0,1,"reforma","nenhum","nao qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
482,24,2,4,1201,2,1,4,4,3,1,26,3,1,1,4,1,0,1,"veiculo novo","nenhum","qualificado","<1","existentes/pagos","nao","proria","Viuvo","<100\\n"
483,30,2,3,3622,4,2,4,1,3,4,57,3,3,2,4,1,1,1,"moveis","nenhum","qualificado",">=7","existentes/pagos","nao","alugada","Solteiro",">=1000"
484,15,3,3,960,4,4,3,1,3,2,30,3,1,2,4,1,0,1,"moveis","nenhum","qualificado","4<=X<7","Atrasos anteriores","nao","proria","Solteiro",">=1000"
485,12,1,4,1163,3,3,4,4,3,4,44,3,1,1,4,1,1,1,"veiculo novo","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Viuvo","500<=X<1000"
486,6,3,4,1209,2,5,4,4,3,4,47,3,1,1,1,1,1,0,"veiculo novo","nenhum","altamente qualificado/empresario","Desempregado","Atrasos anteriores","nao","proria","Viuvo","<100\\n"
487,12,2,1,3077,2,3,2,4,3,4,52,3,1,1,4,1,1,1,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
488,24,2,4,3757,2,2,4,1,2,4,62,3,2,1,4,1,1,1,"veiculo novo","nenhum","qualificado",">=7","existentes/pagos","co requerente","de graca","Solteiro","<100\\n"
489,10,2,4,1418,5,3,3,4,3,2,35,3,3,1,3,1,0,1,"veiculo novo","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","alugada","Viuvo","100<=X<500"
490,6,2,4,3518,2,3,2,4,4,3,26,3,3,1,4,1,0,1,"veiculo novo","nenhum","qualificado","1<=X<4","existentes/pagos","sim","alugada","Viuvo","<100\\n"
491,12,1,1,1934,2,2,2,4,3,2,26,3,1,2,4,1,0,1,"reforma","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
492,27,4,6,8318,2,2,2,1,3,4,42,3,2,2,1,1,1,0,"abrir negocio","nenhum","altamente qualificado/empresario",">=7","sem creditos/todos pagos","nao","de graca","Solteiro","<100\\n"
493,6,1,1,1237,5,3,1,1,3,1,27,3,1,2,4,1,0,1,"reforma","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","100<=X<500"
494,6,2,1,368,1,2,4,4,3,4,38,3,1,1,4,1,0,1,"reforma","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
495,12,1,4,2122,2,3,3,4,3,2,39,3,3,2,3,2,0,1,"veiculo novo","nenhum","nao qualificado","1<=X<4","Critico-outros creditos","nao","alugada","Viuvo","<100\\n"
496,24,2,3,2996,1,3,2,3,3,4,20,3,1,1,4,1,0,0,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Divorciado","Desconhecido\\n"
497,36,2,3,9034,5,1,4,4,2,1,29,3,3,1,1,1,1,0,"moveis","nenhum","altamente qualificado/empresario","<1","existentes/pagos","co requerente","alugada","Viuvo","100<=X<500"
498,24,1,3,1585,2,4,4,4,3,3,40,3,1,2,4,1,0,1,"moveis","nenhum","qualificado","4<=X<7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
500,6,1,4,1323,5,2,2,2,3,4,28,3,1,2,4,2,1,1,"veiculo novo","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Casado","100<=X<500"
501,24,2,4,3123,2,1,4,1,3,1,27,3,1,1,4,1,0,0,"veiculo novo","nenhum","qualificado","<1","existentes/pagos","nao","proria","Solteiro","<100\\n"
502,36,2,5,5493,2,2,2,4,3,4,42,3,2,1,4,2,0,1,"veiculo usado","nenhum","qualificado",">=7","existentes/pagos","nao","de graca","Viuvo","<100\\n"
503,9,2,1,1126,5,2,2,2,3,4,49,3,1,1,4,1,0,1,"reforma","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Casado","100<=X<500"
504,24,1,1,1216,5,1,4,4,3,4,38,1,1,2,4,2,0,0,"reforma","banco","qualificado","<1","Critico-outros creditos","nao","proria","Viuvo","100<=X<500"
506,10,2,4,1309,1,3,4,4,4,4,27,3,1,1,3,1,0,0,"veiculo novo","nenhum","nao qualificado","1<=X<4","existentes/pagos","sim","proria","Viuvo","Desconhecido\\n"
507,15,1,5,2360,3,3,2,4,3,2,36,3,1,1,4,1,1,1,"veiculo usado","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Viuvo","500<=X<1000"
508,15,5,4,6850,5,5,1,4,3,2,34,3,1,1,1,2,1,0,"veiculo novo","nenhum","altamente qualificado/empresario","Desempregado","todos pagos","nao","proria","Viuvo","100<=X<500"
509,24,2,1,1413,2,3,4,3,3,2,28,3,1,1,4,1,0,1,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Divorciado","<100\\n"
510,39,2,5,8588,5,2,4,4,3,2,45,3,1,1,1,1,1,1,"veiculo usado","nenhum","altamente qualificado/empresario",">=7","existentes/pagos","nao","proria","Viuvo","100<=X<500"
511,12,2,4,759,2,4,4,4,3,2,26,3,1,1,4,1,0,0,"veiculo novo","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","<100\\n"
512,36,2,5,4686,2,3,2,4,3,2,32,3,2,1,1,1,1,1,"veiculo usado","nenhum","altamente qualificado/empresario","1<=X<4","existentes/pagos","nao","de graca","Viuvo","<100\\n"
513,15,2,6,2687,2,4,2,4,3,4,26,3,3,1,4,1,1,1,"abrir negocio","nenhum","qualificado","4<=X<7","existentes/pagos","nao","alugada","Viuvo","<100\\n"
514,12,3,1,585,2,3,4,3,3,4,20,3,3,2,4,1,0,1,"reforma","nenhum","qualificado","1<=X<4","Atrasos anteriores","nao","alugada","Divorciado","<100\\n"
515,24,2,4,2255,1,1,4,4,3,1,54,3,1,1,4,1,0,1,"veiculo novo","nenhum","qualificado","<1","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
516,6,1,4,609,2,4,4,1,3,3,37,3,1,2,4,1,0,1,"veiculo novo","nenhum","qualificado","4<=X<7","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
517,6,1,4,1361,2,1,2,4,3,4,40,3,1,1,3,2,0,1,"veiculo novo","nenhum","nao qualificado","<1","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
518,36,1,3,7127,2,1,2,1,3,4,23,3,3,2,4,1,1,0,"moveis","nenhum","qualificado","<1","Critico-outros creditos","nao","alugada","Solteiro","<100\\n"
519,6,2,4,1203,5,2,3,4,3,2,43,3,1,1,4,1,1,1,"veiculo novo","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Viuvo","100<=X<500"
520,6,1,1,700,1,2,4,4,3,4,36,3,2,2,4,1,0,1,"reforma","nenhum","qualificado",">=7","Critico-outros creditos","nao","de graca","Viuvo","Desconhecido\\n"
521,24,1,8,5507,2,2,3,4,3,4,44,3,2,2,4,1,0,1,"reforma casa","nenhum","qualificado",">=7","Critico-outros creditos","nao","de graca","Viuvo","<100\\n"
522,18,2,1,3190,2,3,2,1,3,2,24,3,1,1,4,1,0,0,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Solteiro","<100\\n"
523,48,4,3,7119,2,3,3,4,3,4,53,3,2,2,4,2,0,0,"moveis","nenhum","qualificado","1<=X<4","sem creditos/todos pagos","nao","de graca","Viuvo","<100\\n"
524,24,2,5,3488,5,4,3,1,3,4,23,3,1,1,4,1,0,1,"veiculo usado","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Solteiro","100<=X<500"
525,18,2,1,1113,2,3,4,1,4,4,26,3,1,1,3,2,0,1,"reforma","nenhum","nao qualificado","1<=X<4","existentes/pagos","sim","proria","Solteiro","<100\\n"
526,26,2,5,7966,2,1,2,4,3,3,30,3,1,2,4,1,0,1,"veiculo usado","nenhum","qualificado","<1","existentes/pagos","nao","proria","Viuvo","<100\\n"
527,15,1,2,1532,5,3,4,1,3,3,31,3,1,1,4,1,0,1,"educacao","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","100<=X<500"
528,4,1,1,1503,2,4,2,4,3,1,42,3,1,2,3,2,0,1,"reforma","nenhum","nao qualificado","4<=X<7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
529,36,2,1,2302,2,3,4,2,3,4,31,3,3,1,4,1,0,0,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","nao","alugada","Casado","<100\\n"
530,6,2,4,662,2,1,3,4,3,4,41,3,1,1,3,2,1,1,"veiculo novo","nenhum","nao qualificado","<1","existentes/pagos","nao","proria","Viuvo","<100\\n"
531,36,2,2,2273,2,4,3,4,3,1,32,3,1,2,4,2,0,1,"educacao","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","<100\\n"
532,15,2,4,2631,5,3,2,1,3,4,28,3,3,2,4,1,1,0,"veiculo novo","nenhum","qualificado","1<=X<4","existentes/pagos","nao","alugada","Solteiro","100<=X<500"
533,12,3,5,1503,2,3,4,3,3,4,41,3,3,1,4,1,0,1,"veiculo usado","nenhum","qualificado","1<=X<4","Atrasos anteriores","nao","alugada","Divorciado","<100\\n"
534,24,2,1,1311,5,4,4,3,3,3,26,3,1,1,4,1,1,1,"reforma","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Divorciado","100<=X<500"
535,24,2,1,3105,1,1,4,4,3,2,25,3,1,2,4,1,0,1,"reforma","nenhum","qualificado","<1","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
536,21,1,2,2319,2,1,2,2,3,1,33,3,3,1,4,1,0,0,"educacao","nenhum","qualificado","<1","Critico-outros creditos","nao","alugada","Casado","<100\\n"
537,6,2,4,1374,1,5,4,1,3,3,75,3,1,1,1,1,1,1,"veiculo novo","nenhum","altamente qualificado/empresario","Desempregado","existentes/pagos","nao","proria","Solteiro","Desconhecido\\n"
538,18,1,3,3612,2,2,3,1,3,4,37,3,1,1,4,1,1,1,"moveis","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
539,48,2,4,7763,2,2,4,4,3,4,42,1,2,1,1,1,0,0,"veiculo novo","banco","altamente qualificado/empresario",">=7","existentes/pagos","nao","de graca","Viuvo","<100\\n"
540,18,2,3,3049,2,1,1,1,3,1,45,2,1,1,3,1,0,1,"moveis","loja","nao qualificado","<1","existentes/pagos","nao","proria","Solteiro","<100\\n"
541,12,2,1,1534,2,1,1,3,3,1,23,3,3,1,4,1,0,0,"reforma","nenhum","qualificado","<1","existentes/pagos","nao","alugada","Divorciado","<100\\n"
542,24,3,4,2032,2,2,4,4,3,4,60,3,2,2,4,1,1,1,"veiculo novo","nenhum","qualificado",">=7","Atrasos anteriores","nao","de graca","Viuvo","<100\\n"
543,30,2,3,6350,1,2,4,4,3,4,31,3,1,1,4,1,0,0,"moveis","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
544,18,2,3,2864,2,3,2,4,3,1,34,3,1,1,3,2,0,0,"moveis","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
545,12,1,4,1255,2,2,4,4,3,4,61,3,1,2,3,1,0,1,"veiculo novo","nenhum","nao qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
546,24,3,4,1333,2,5,4,4,3,2,43,3,2,2,4,2,0,0,"veiculo novo","nenhum","qualificado","Desempregado","Atrasos anteriores","nao","de graca","Viuvo","<100\\n"
547,24,1,4,2022,2,3,4,1,3,4,37,3,1,1,4,1,1,1,"veiculo novo","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
548,24,2,1,1552,2,4,3,4,3,1,32,1,1,1,4,2,0,1,"reforma","banco","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","<100\\n"
549,12,5,1,626,2,3,4,1,3,4,24,1,1,1,3,1,0,0,"reforma","banco","nao qualificado","1<=X<4","todos pagos","nao","proria","Solteiro","<100\\n"
550,48,1,5,8858,1,4,2,4,3,1,35,3,2,2,4,1,1,1,"veiculo usado","nenhum","qualificado","4<=X<7","Critico-outros creditos","nao","de graca","Viuvo","Desconhecido\\n"
551,12,1,8,996,1,4,4,1,3,4,23,3,1,2,4,1,0,1,"reforma casa","nenhum","qualificado","4<=X<7","Critico-outros creditos","nao","proria","Solteiro","Desconhecido\\n"
552,6,5,1,1750,3,2,2,4,3,4,45,1,1,1,3,2,0,1,"reforma","banco","nao qualificado",">=7","todos pagos","nao","proria","Viuvo","500<=X<1000"
553,48,2,1,6999,2,4,1,3,4,1,34,3,1,2,4,1,1,0,"reforma","nenhum","qualificado","4<=X<7","existentes/pagos","sim","proria","Divorciado","<100\\n"
554,12,1,4,1995,5,1,4,4,3,1,27,3,1,1,4,1,0,1,"veiculo novo","nenhum","qualificado","<1","Critico-outros creditos","nao","proria","Viuvo","100<=X<500"
555,9,2,2,1199,2,4,4,1,3,4,67,3,1,2,1,1,1,1,"educacao","nenhum","altamente qualificado/empresario","4<=X<7","existentes/pagos","nao","proria","Solteiro","<100\\n"
556,12,2,1,1331,2,1,2,4,3,1,22,2,1,1,4,1,0,0,"reforma","loja","qualificado","<1","existentes/pagos","nao","proria","Viuvo","<100\\n"
557,18,4,4,2278,5,1,3,1,3,3,28,3,1,2,4,1,0,0,"veiculo novo","nenhum","qualificado","<1","sem creditos/todos pagos","nao","proria","Solteiro","100<=X<500"
558,21,4,4,5003,1,3,1,1,3,4,29,1,1,2,4,1,1,0,"veiculo novo","banco","qualificado","1<=X<4","sem creditos/todos pagos","nao","proria","Solteiro","Desconhecido\\n"
559,24,5,3,3552,2,4,3,4,3,4,27,1,1,1,4,1,0,0,"moveis","banco","qualificado","4<=X<7","todos pagos","nao","proria","Viuvo","<100\\n"
560,18,1,3,1928,2,1,2,4,3,2,31,3,1,2,3,1,0,0,"moveis","nenhum","nao qualificado","<1","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
561,24,2,5,2964,1,2,4,4,3,4,49,1,2,1,4,2,1,1,"veiculo usado","banco","qualificado",">=7","existentes/pagos","nao","de graca","Viuvo","Desconhecido\\n"
562,24,5,1,1546,2,4,4,4,4,4,24,1,3,1,3,1,0,0,"reforma","banco","nao qualificado","4<=X<7","todos pagos","sim","alugada","Viuvo","<100\\n"
563,6,3,1,683,2,1,2,1,3,1,29,1,1,1,4,1,0,1,"reforma","banco","qualificado","<1","Atrasos anteriores","nao","proria","Solteiro","<100\\n"
564,36,2,4,12389,1,3,1,4,3,4,37,3,2,1,4,1,1,0,"veiculo novo","nenhum","qualificado","1<=X<4","existentes/pagos","nao","de graca","Viuvo","Desconhecido\\n"
566,24,3,1,1553,5,4,3,1,3,2,23,3,3,2,4,1,1,1,"reforma","nenhum","qualificado","4<=X<7","Atrasos anteriores","nao","alugada","Solteiro","100<=X<500"
567,12,2,4,1372,2,4,2,2,3,3,36,3,1,1,4,1,0,0,"veiculo novo","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Casado","<100\\n"
568,24,1,1,2578,4,2,2,4,3,2,34,3,1,1,4,1,0,1,"reforma","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo",">=1000"
569,48,2,1,3979,1,4,4,4,3,1,41,3,1,2,4,2,1,1,"reforma","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
570,48,2,1,6758,2,3,3,1,3,2,31,3,1,1,4,1,1,0,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Solteiro","<100\\n"
571,24,2,3,3234,2,1,4,1,3,4,23,3,3,1,3,1,1,0,"moveis","nenhum","nao qualificado","<1","existentes/pagos","nao","alugada","Solteiro","<100\\n"
572,30,1,1,5954,2,4,3,4,2,2,38,3,1,1,4,1,0,1,"reforma","nenhum","qualificado","4<=X<7","Critico-outros creditos","co requerente","proria","Viuvo","<100\\n"
573,24,2,5,5433,1,5,2,1,3,4,26,3,3,1,1,1,1,1,"veiculo usado","nenhum","altamente qualificado/empresario","Desempregado","existentes/pagos","nao","alugada","Solteiro","Desconhecido\\n"
574,15,2,6,806,2,3,4,1,3,4,22,3,1,1,3,1,0,1,"abrir negocio","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","proria","Solteiro","<100\\n"
575,9,2,1,1082,2,2,4,4,3,4,27,3,1,2,3,1,0,1,"reforma","nenhum","nao qualificado",">=7","existentes/pagos","nao","proria","Viuvo","<100\\n"
576,15,1,3,2788,2,4,2,1,2,3,24,1,1,2,4,1,0,1,"moveis","banco","qualificado","4<=X<7","Critico-outros creditos","co requerente","proria","Solteiro","<100\\n"
577,12,2,1,2930,2,4,2,1,3,1,27,3,1,1,4,1,0,1,"reforma","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Solteiro","<100\\n"
578,24,1,2,1927,1,3,3,1,3,2,33,3,1,2,4,1,1,1,"educacao","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","Desconhecido\\n"
579,36,1,4,2820,2,1,4,2,3,4,27,3,1,2,4,1,0,0,"veiculo novo","nenhum","qualificado","<1","Critico-outros creditos","nao","proria","Casado","<100\\n"
